identificador,aviso,fecha_envio,entidad,valor
CO1.PCCNTR.9909441,relacionado,2026-09-12 19:44:29,ALCALDÍA MUNICIPAL DE LA CELIA,8000000.0
CO1.PCCNTR.9851042,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPIO DE QUIBDO,499999946.0
CO1.PCCNTR.9903664,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BELALCAZAR,150000000.0
CO1.PCCNTR.9809009,relacionado,2026-09-12 19:44:29,MUNICIPIO DE MANIZALES,1000000000.0
CO1.PCCNTR.9901956,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPIO DE RIOSUCIO CALDAS,291744710.0
CO1.PCCNTR.9865773,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,5277000.0
CO1.PCCNTR.9912033,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,11400000.0
CO1.PCCNTR.9919753,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,7200000.0
CO1.PCCNTR.9805754,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPIO DE RIOSUCIO CALDAS,50000000.0
CO1.PCCNTR.9826228,relacionado,2026-09-12 19:44:29,ALCALDIA DE ISTMINA,100000000.0
CO1.PCCNTR.9917780,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,11400000.0
CO1.PCCNTR.9903846,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BELALCAZAR,5000000.0
CO1.PCCNTR.9796661,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PALESTINA CALDAS,9734096.0
CO1.PCCNTR.9812248,relacionado,2026-09-12 19:44:29,Alcaldía De Villamaria,20000000.0
CO1.PCCNTR.9868340,relacionado,2026-09-12 19:44:29,INSTITUTO DE FINANCIAMIENTO PROMOCIÓN Y DESARROLLO DE MANIZALES - INFI-MANIZALES,304402000.0
CO1.PCCNTR.9903198,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,5000000000.0
CO1.PCCNTR.9825036,relacionado,2026-09-12 19:44:29,ALCALDIA DE CIUDAD BOLIVAR,7000000.0
CO1.PCCNTR.9838879,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,6198000.0
CO1.PCCNTR.9901756,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPIO DE RIOSUCIO CALDAS,38079600.0
CO1.PCCNTR.9905484,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,11400000.0
CO1.PCCNTR.9812669,relacionado,2026-09-12 19:44:29,Alcaldía De Villamaria,100000000.0
CO1.PCCNTR.9817797,relacionado,2026-09-12 19:44:29,Municipio de Montenegro--,4600000.0
CO1.PCCNTR.9912626,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,11400000.0
CO1.PCCNTR.9905539,relacionado,2026-09-12 19:44:29,MUNICIPIO DE MANIZALES,70000000.0
CO1.PCCNTR.9875752,relacionado,2026-09-12 19:44:29,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,0.0
CO1.PCCNTR.9858777,relacionado,2026-09-12 19:44:29,MUNICIPIO DE MANIZALES,1294500000.0
CO1.PCCNTR.9892727,relacionado,2026-09-12 19:44:29,MUNICIPIO DE MANIZALES,70000000.0
CO1.PCCNTR.9833279,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPIO DE DOSQUEBRADAS,1000000000.0
CO1.PCCNTR.9919079,relacionado,2026-09-12 19:44:29,MUNICIPIO DE SANTA ROSA DE CABAL,365000000.0
CO1.PCCNTR.9844977,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL LA VIRGINIA RISARALDA,200000000.0
CO1.PCCNTR.9818193,relacionado,2026-09-12 19:44:29,Municipio de Montenegro--,5000000.0
CO1.PCCNTR.9853261,relacionado,2026-09-12 19:44:29,Rama Judicial  Dirección Seccional de Administración Judicial de Montería,67500000.0
CO1.PCCNTR.9868893,relacionado,2026-09-12 19:44:29,MUNICIPIO DE QUIMBAYA,330330000.0
CO1.PCCNTR.9905756,relacionado,2026-09-12 19:44:29,MUNICIPIO DE VITERBO,7500000.0
CO1.PCCNTR.9898014,relacionado,2026-09-12 19:44:29,MUNICIPIO DE MANIZALES,70000000.0
CO1.PCCNTR.9902147,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPIO DE RIOSUCIO CALDAS,180063000.0
CO1.PCCNTR.9809806,relacionado,2026-09-12 19:44:29,MUNICIPIO DE MANIZALES,540000000.0
CO1.PCCNTR.9817794,relacionado,2026-09-12 19:44:29,Municipio de Montenegro--,4600000.0
CO1.PCCNTR.9883100,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPIO DE DOSQUEBRADAS,4680000.0
CO1.PCCNTR.9876290,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BELALCAZAR,50000000.0
CO1.PCCNTR.9864763,relacionado,2026-09-12 19:44:29,EMPRESA DE DESARROLLO URBANO DE PEREIRA - EDUP,6000000.0
CO1.PCCNTR.9819907,relacionado,2026-09-12 19:44:29,EMPRESA DE DESARROLLO URBANO DE PEREIRA - EDUP,21886667.0
CO1.PCCNTR.9908333,relacionado,2026-09-12 19:44:29,ALCALDIA DE FILANDIA,20000000.0
CO1.PCCNTR.9813144,relacionado,2026-09-12 19:44:29,Alcaldía De Villamaria,6000000.0
CO1.PCCNTR.9857841,relacionado,2026-09-12 19:44:29,MUNICIPIO DE MANIZALES,250000000.0
CO1.PCCNTR.9900431,relacionado,2026-09-12 19:44:29,ALCALDÍA DEL MUNICIPIO DE SANTUARIO RISARALDA,10800000.0
CO1.PCCNTR.9837706,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PACORA,200000000.0
CO1.PCCNTR.9907046,relacionado,2026-09-12 19:44:29,ALCALDÍA MUNICIPAL DE LA CELIA,10000000.0
CO1.PCCNTR.9921103,relacionado,2026-09-12 19:44:29,CORPORACION AUTONOMA REGIONAL DE RISARALDA,100000000.0
CO1.PCCNTR.9835903,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,6198000.0
CO1.PCCNTR.9913242,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,11400000.0
CO1.PCCNTR.9911749,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,15000000.0
CO1.PCCNTR.9908581,relacionado,2026-09-12 19:44:29,ALCALDIA DE FILANDIA,9900000.0
CO1.PCCNTR.9930230,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,11400000.0
CO1.PCCNTR.9905152,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,11400000.0
