"fecha_deteccion","fuente","identificador","fecha_registro","entidad","grupo","nivel_relacion","valor"
2026-08-19 21:33:02,procesos,CO1.REQ.10862920,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,19220000
2026-08-19 21:33:02,procesos,CO1.REQ.10863175,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,11841000
2026-08-19 21:33:02,procesos,CO1.REQ.10864467,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,4000000
2026-08-19 21:33:02,procesos,CO1.REQ.10865328,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,5000000
2026-08-19 21:33:02,procesos,CO1.REQ.10864460,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,4000000
2026-08-19 21:33:02,procesos,CO1.REQ.10822258,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,14000000
2026-08-19 21:33:02,procesos,CO1.REQ.10822323,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,5000000
2026-08-19 21:33:02,procesos,CO1.REQ.10821850,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,5000000
2026-08-19 21:33:02,procesos,CO1.REQ.10869552,2026-08-18,GOBERNACION DEL VALLE DEL CAUCA - DADI,Gobernación del Valle,Contexto,5000000
2026-08-19 21:33:02,procesos,CO1.REQ.10862945,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,11168000
2026-08-19 21:33:02,procesos,CO1.REQ.10864349,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,7000000
2026-08-19 21:33:02,procesos,CO1.REQ.10822128,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,4000000
2026-08-19 21:33:02,procesos,CO1.REQ.10865273,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,7000000
2026-08-19 21:33:02,procesos,CO1.REQ.10866237,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,24988000
2026-08-19 21:33:02,procesos,CO1.REQ.10822056,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,6000000
2026-08-19 21:33:02,procesos,CO1.REQ.10822055,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,10000000
2026-08-19 21:33:02,procesos,CO1.REQ.10866793,2026-08-18,UAEPA2,Alcaldía de Cali,Contexto,14204000
2026-08-19 21:33:02,procesos,CO1.REQ.10865370,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,3000000
2026-08-19 21:33:02,procesos,CO1.REQ.10868376,2026-08-18,GOBERNACIÓN VALLE DEL CAUCA -SECRETARIA DE SALUD,Gobernación del Valle,Contexto,30000000
2026-08-19 21:33:02,procesos,CO1.REQ.10822029,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,5000000
2026-08-19 21:33:02,procesos,CO1.REQ.10866147,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DEL DEPORTE Y LA RECREACIÓN,Alcaldía de Cali,Contexto,5584000
2026-08-19 21:33:02,procesos,CO1.REQ.10866505,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,13020000
2026-08-19 21:33:02,procesos,CO1.REQ.10865291,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,4000000
